i,f',f*,p,e,d,lambda,z',z*
1,613.4301633785201,238.87310095263575,1,0,1,0.75,[1 1 1 1 0 1 1 1 0],[1 0 1 0 0 1 0 1 1]
2,0.0,0.0,1,0,0,0.5,[1 0 1 0 0 1 0 1 1],[1 0 0 1 0 0 0 0 0]
3,467.2658073071543,0.0,1,0,1,0.375,[1 0 0 1 1 0 1 1 1],[1 0 0 1 0 0 0 0 0]
4,383.4562632360724,0.0,1,0,2,0.3,[1 1 1 0 1 1 1 0 0],[1 0 0 1 0 0 0 0 0]
5,467.2658073071543,0.0,1,0,3,0.25,[1 1 1 1 1 0 1 0 0],[1 0 0 1 0 0 0 0 0]
6,17.98496672869166,0.0,1,0,4,0.21428571428571427,[1 0 0 0 1 1 0 0 1],[1 0 0 1 0 0 0 0 0]
7,388.6333811454566,0.0,1,0,5,0.1875,[1 1 0 1 1 0 1 0 1],[1 0 0 1 0 0 0 0 0]
8,692.0625895402177,0.0,1,0,6,0.16666666666666666,[1 1 1 1 1 1 1 0 0],[1 0 0 1 0 0 0 0 0]
9,388.260250928826,0.0,1,0,7,0.15,[0 1 1 0 1 1 1 0 1],[1 0 0 1 0 0 0 0 0]
10,49.92009339760696,0.0,0.991,0,8,0.13636363636363635,[1 0 0 0 0 0 1 1 0],[1 0 0 1 0 0 0 0 0]
